asset_id,type,filename,destination,narrative_purpose,mood,instrumentation_source,duration_target_s,loop_required,loop_notes,loudness_target,format,sample_rate,channels,production_method,production_prompt_file,source_url,creator,license,attribution,sha256,placeholder_status,candidate_status,user_approval_status,integration_status,notes
sfx_res_down,sfx,sfx_res_down.wav,assets/audio/,Resource decrease,bell down,two-note bell,0.28,no,one-shot,-17 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_res_down.txt,,repository (procedural),original (repository),none required,2ef8f15b2673ad49752cdb4aebe5dc34a0ae62626f979a27e93c435a163b5d6a,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_res_danger,sfx,sfx_res_danger.wav,assets/audio/,Resource enters danger band,low pulse,beating harmonium,0.7,no,one-shot,-12 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_res_danger.txt,,repository (procedural),original (repository),none required,2ece042183d6d509cb151b8e81073f0535c9922382c0b1545ffa69837a629dbe,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_warning,sfx,sfx_warning.wav,assets/audio/,General warning,struck iron,partials + reverb,0.6,no,one-shot,-17 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_warning.txt,,repository (procedural),original (repository),none required,c2699fc758b0e71fa4614dabfd53823ca3524a2bb81e41c0543ebc8cf1be44f7,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_unlock,sfx,sfx_unlock.wav,assets/audio/,Ledger unlock,three bells,rising bell partials,0.9,no,one-shot,-18 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_unlock.txt,,repository (procedural),original (repository),none required,21bc027deb2b1b44d8d6d286a784e8b45262d1a29c46fb4410acdb187b2b0d72,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_revelation,sfx,sfx_revelation.wav,assets/audio/,Revelation beat,swell,sines + shimmer noise,1.6,no,one-shot,-18 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_revelation.txt,,repository (procedural),original (repository),none required,125e32ea18ab03d89f9d7fb1e7def80a32fa8498e0d854c64dec2e9b9731edf1,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_death,sfx,sfx_death.wav,assets/audio/,Death / dismissal,bell + drone,bell partials + descending drone,1.6,no,one-shot,-17 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_death.txt,,repository (procedural),original (repository),none required,bb301efe42b51e547662a9ade981afc4ad7f031932fe8f7d23afb7dfc07f4dfc,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_success,sfx,sfx_success.wav,assets/audio/,Success stinger,plucked,pluck + bell,1.0,no,one-shot,-17 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_success.txt,,repository (procedural),original (repository),none required,b45b5cd36760caf43314befe35d1094cff56b3144e4a4f404c0b8a9c2fd119b5,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_telegram,sfx,sfx_telegram.wav,assets/audio/,Telegram card,clicks,noise bursts in rhythm,0.5,no,one-shot,-28 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_telegram.txt,,repository (procedural),original (repository),none required,3dbae3a5a7aa8ea39dac3edc151b4f26bc55bb6bc407490002cd4d5167b2d3e3,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_mech_click,sfx,sfx_mech_click.wav,assets/audio/,Mechanical click / ratchet,click,noise burst,0.04,no,one-shot,-21 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_mech_click.txt,,repository (procedural),original (repository),none required,e0bd8f454b70616119dd52ea019a2936d9cb3bea5ca4f40af9287cf182552b5a,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_gate_move,sfx,sfx_gate_move.wav,assets/audio/,Lock-gate movement,groan,low sweep + rumble + creak,1.4,no,one-shot,-11 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_gate_move.txt,,repository (procedural),original (repository),none required,4642fe11f4cf5d3502855ace359a321408cffa0f2b2feba3af94159e28a97ed9,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_chain,sfx,sfx_chain.wav,assets/audio/,Chain tension,metallic rattle,sine bursts,0.8,no,one-shot,-19 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_chain.txt,,repository (procedural),original (repository),none required,49c14342aaa5afd9a61bf7b9af006edd1ef03d30b47a9115fdc67ad70dd89302,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_water_loop,sfx,sfx_water_loop.wav,assets/audio/,Water movement (loop),water,"filtered noise, crossfaded loop",2.75,yes,crossfaded seam; validated in reports/assets/audio_validation.json,-23 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_water_loop.txt,,repository (procedural),original (repository),none required,8549bf459ef677e2dee73798bedd8cd038fa2baaf47504e40687a41d89a9ad81,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_water_drift,sfx,sfx_water_drift.wav,assets/audio/,Water drift tick,water,band-passed noise,0.25,no,one-shot,-25 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_water_drift.txt,,repository (procedural),original (repository),none required,891a2910c8561c4d04ec867148a3552ff5c27750e45a740631028f5badefdee3,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_wood_impact,sfx,sfx_wood_impact.wav,assets/audio/,Wooden impact,wood,pitch sweep + noise,0.22,no,one-shot,-14 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_wood_impact.txt,,repository (procedural),original (repository),none required,79f63ddfde68aa5f28f4774f57051608281462d5dd4c9e97f83e7c8bac5ba94c,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_metal_impact,sfx,sfx_metal_impact.wav,assets/audio/,Metal impact,metal,inharmonic partials,0.7,no,one-shot,-17 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_metal_impact.txt,,repository (procedural),original (repository),none required,d29a1cbf1ee1087a650d6cf056caf716ecd04952571af03d5ec4881732bb1506,procedural_candidate,candidate,pending,integrated,requires human listening review
sfx_bell,sfx,sfx_bell.wav,assets/audio/,Summit bell,bell,tubular bell partials,2.2,no,one-shot,-16 dBFS RMS,WAV PCM16,44100,1,"procedural synthesis (tools/build_audio.py, seed 9)",assets/prompts/audio/sfx_bell.txt,,repository (procedural),original (repository),none required,f602e97c832438de00c6e01807860ab014b476c1f91e4540696b62209d0a39d5,procedural_candidate,candidate,pending,integrated,requires human listening review
