key,text
card.cri_money_05.text,"The Board's view is that a post which cannot pay its hands is a post in default. Regrettably, default has consequences: the account is frozen, the Keeper's salary is suspended, and a Company clerk will keep the Book until the account recovers. Do carry on. Under supervision."
card.cri_money_05.left,Accept supervision
card.cri_money_05.left_outcome,A clerk from Ardent at your elbow for a month. He is very young. He counts everything. The account recovers.
card.cri_money_05.right,The town will fund the gate
card.cri_money_05.right_outcome,"""The town. Regrettably, the Board has no view on the town."" The town has one on the Board."
card.cri_money_06.text,COMPANY TO KEEPER STOP ACCOUNT IRREGULARITY NOTED STOP SURPLUS EXCEEDS TOLL CAPACITY STOP BOARD AUDITOR DISPATCHED STOP EXPLAIN BY RETURN STOP
card.cri_money_06.left,Remit the surplus tonight
card.cri_money_06.left_outcome,The chest goes east in a strongbox by the last boat. The auditor arrives to find a book that balances.
card.cri_money_06.right,'GIFTS FROM GRATEFUL BARGEES'
card.cri_money_06.right_outcome,The auditor arrives. He asks which bargees. You do not have names.
card.cri_money_07.text,"The chest is neither empty nor suspicious. Wages paid, Cole paid, the Book balanced to the mark. The Ledger's money page has one other hand: 'a Keeper who is rich or poor is noticed. Be neither.'"
card.cri_money_07.left,Be neither
card.cri_money_07.left_outcome,You write it under the other hand. It is good advice. It is hard.
card.cri_money_07.right,Bury a reserve in the false bottom
card.cri_money_07.right_outcome,Twenty marks under Dray's board. Neither rich nor poor. Prepared.
card.cri_pileup_01.text,Two boats in the chamber and a third coming in because nobody said stop. The paddles are running. The hulls are grinding. A bargee has jumped for the wall and missed. Everything is happening at once and none of it slowly.
card.cri_pileup_01.left,Drop the paddles; dive for the bargee
card.cri_pileup_01.left_outcome,You go in. He comes out. The boats settle against each other like tired animals. Nobody is under them.
card.cri_pileup_01.right,Drop the paddles; Dace gets the bargee
card.cri_pileup_01.right_outcome,Dace gets him with a hook. The boats settle. The third has a hole in her bow you could put a barrel through.
card.cri_pileup_02.text,"The coal boat's holed and sinking in the chamber. If she goes down there the gate's blocked for a month. I can beach her on the sill if we drain now, and lose the sill facing. Or she sinks. Pick."
card.cri_pileup_02.left,Drain and beach her
card.cri_pileup_02.left_outcome,She grounds on the sill with a sound of breaking stone. The chamber is clear by dark. The sill is not what it was.
card.cri_pileup_02.right,Let her sink; raise her later
card.cri_pileup_02.right_outcome,She sinks in the chamber. Three weeks with Tamm's rig. Sixty boats wait. The sill lives.
card.cri_pileup_03.text,"One dead. Crushed between the hulls. A Sorrel bargee, young, with a wife at Lock 3 who does not know yet. I will write to her. I would like the Keeper to sign the letter, because the Company's form does not have a place for sorry and mine does."
card.cri_pileup_03.left,Sign it
card.cri_pileup_03.left_outcome,You sign under 'sorry'. It is the only Company letter that has ever had the word.
card.cri_pileup_03.right,The Company's form only
card.cri_pileup_03.right_outcome,"""The form. Yes. I shall send mine anyway, unsigned. She will know whose it is."""
card.cri_pileup_04.text,A collision in the chamber. A death. The Board requires an inquiry and the inquiry requires a name. The order to run two boats a filling was given. The Book does not say by whom. You will find I am asking whom to write.
card.cri_pileup_04.left,Write mine
card.cri_pileup_04.left_outcome,"""Noted."" She writes it. Then she writes, beneath it, 'under Superintendent's standing instruction'. Pell does not thank her. He does not know."
card.cri_pileup_04.right,Write Pell's
card.cri_pileup_04.right_outcome,"""Noted."" She writes it. Pell is scolded for nine pages and does not speak to you for a month."
card.cri_pileup_05.text,"I have examined the chamber. Two vessels, one filling, contrary to regulation and the Compact's safety schedule. I have the dates of every such passage this quarter. Forty-one. I am obliged to report them. I take no pleasure in it."
card.cri_pileup_05.left,Report them all
card.cri_pileup_05.left_outcome,"""Duly."" Forty-one breaches to Aldmere. Aldmere demands the summit slow. It slows."
card.cri_pileup_05.right,Report the one
card.cri_pileup_05.right_outcome,"""One. I note that is not what happened. I note I am doing it anyway, which I shall regret."""
card.cri_pileup_06.text,"The chamber is clear. The gate runs one boat a filling, at the bell. The record is gone and so is a man. In the Ledger the pile-up page has one other hand, from Year 58: 'we were told to go faster, and we did'."
card.cri_pileup_06.left,Write the same
card.cri_pileup_06.left_outcome,You write it. It is still true.
card.cri_pileup_06.right,"Write 'one boat a filling, always'"
card.cri_pileup_06.right_outcome,"A rule, in the Ledger, for the next Keeper. Whether they read it is theirs."
card.cri_recover_01.text,"A quiet watch. The first in a season. No queue past Lock 8, no water over the path, a chest that closes, a Board that has stopped writing, a town that nods. The Ledger has a page for quiet watches. It is the shortest page. It says: 'they end'."
card.cri_recover_01.left,Use it: walk the north bank
card.cri_recover_01.left_outcome,"In daylight, for once. The sluice house. The clear stream. You see it all plainly and nobody stops you."
card.cri_recover_01.right,Use it: sleep
card.cri_recover_01.right_outcome,You sleep a whole night. The gate does not fall down. Stroud is smug for a week.
card.cri_recover_02.text,"You've had a bad season. I've watched it from Lock 8. Dray had a bad season too, his second year. He came out of it different. Quieter. Started asking about the tenth mark. Just saying."
card.cri_recover_02.left,Ask about the tenth mark
card.cri_recover_02.left_outcome,"""Below the sill. Painted over in Year 31. For when the pound goes where it shouldn't."""
card.cri_recover_02.right,Come out of it louder
card.cri_recover_02.right_outcome,"""Louder. Ha. Nobody's tried louder. Might work."""
